,popularity,acousticness,danceability,energy,liveness,loudness,tempo,name,clusters
113,69,0.00165,0.544,0.905,0.0532,-10.732,103.594,Two Princes,3
114,58,0.374,0.329,0.509,0.12,-6.607,127.119,Redeemed,56
115,0,0.746,0.35,0.226,0.0826,-12.637,76.821,Jesus Paid It All,45
116,84,0.347,0.645,0.795,0.104,-12.095,112.067,Everybody Wants To Rule The World,39
117,65,0.00199,0.768,0.826,0.031,-4.904,114.997,Rose-Colored Boy,70
118,75,0.0659,0.926,0.703,0.231,-6.337,125.022,Bodak Yellow,70
119,74,0.00413,0.653,0.718,0.0537,-5.232,82.034,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",96
120,78,0.406,0.72,0.763,0.18,-4.068,101.965,Rockabye (feat. Sean Paul & Anne-Marie),54
121,80,0.0572,0.585,0.776,0.3,-5.898,77.987,Complicated,22
122,1,0.00339,0.534,0.946,0.164,-5.167,141.517,Firestarter,83
123,0,0.899,0.439,0.387,0.111,-9.158,79.658,When Pleasure Fails,23
124,1,0.119,0.555,0.722,0.0861,-6.005,134.058,Yours,83
125,57,0.2,0.548,0.901,0.1,-2.637,145.953,Fast,57
126,0,0.24,0.673,0.662,0.126,-7.384,96.948,Where It's At,32
127,27,0.128,0.681,0.68,0.0658,-9.247,87.957,Stop Me (Remix) (feat. JGivens),3
128,46,0.708,0.607,0.861,0.279,-10.461,139.04,In The Room Where You Sleep,85
129,54,0.889,0.453,0.295,0.256,-16.465,169.851,Greenpath,31
130,0,0.249,0.62,0.676,0.202,-6.57,150.02,Rett i foret,12
131,68,0.0193,0.498,0.702,0.0669,-7.833,79.3,Stand Up,28
132,70,0.0159,0.792,0.856,0.0981,-5.236,127.988,Dance Again,70
133,49,0.13,0.448,0.761,0.0823,-4.741,149.687,Blind,57
134,0,0.0919,0.605,0.532,0.0762,-10.872,102.804,Ameno,10
135,57,0.692,0.0993,0.0902,0.0745,-26.307,71.062,"Becoming one of ""The People"" Becoming one with Neytiri",26
136,52,0.0856,0.802,0.481,0.152,-5.132,90.973,Thinking 'Bout You,20
137,0,0.00232,0.602,0.851,0.155,-4.748,89.995,Strange Love,13
138,72,0.0608,0.538,0.752,0.118,-5.106,139.984,God's Country,57
139,0,0.0788,0.717,0.729,0.096,-5.913,91.027,"Verden Går Til Helvete, Tralala",27
140,65,0.202,0.745,0.477,0.12,-7.706,136.055,Younger,58
141,0,0.127,0.672,0.642,0.137,-4.552,123.984,Weak,83
142,66,0.615,0.6,0.412,0.134,-9.343,113.049,Gold,77
143,0,0.00328,0.64,0.989,0.364,-3.707,142.024,Everytime We Touch,44
144,58,0.218,0.509,0.809,0.0757,-6.179,181.746,Brother,47
