name,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Spanish Doll,293066,0,0.402,0.596,0.539,3.83e-06,0.671,-8.783,0.041,146.734
Sex & Candy,173493,71,0.238,0.67,0.558,0,0.106,-9.159,0.0251,80.511
"Rainbow Connection - From ""The Muppet Movie""/Soundtrack Version",195813,57,0.53,0.709,0.311,0,0.0976,-13.637,0.0386,115.147
I Know Places,195706,51,0.231,0.596,0.763,0,0.2,-4.99,0.0661,159.958
S.W.A.K.,234004,50,0.327,0.727,0.484,0.33,0.307,-12.892,0.108,82.962
Hello Seattle,167186,43,0.00219,0.618,0.743,0,0.158,-4.688,0.0284,118.984
Hey There Delilah,232533,81,0.872,0.656,0.291,0,0.114,-10.572,0.0293,103.971
Mayonesa,231080,64,0.088,0.851,0.843,0,0.0665,-5.204,0.0475,97.047
Harvest,150230,28,0.0627,0.803,0.378,0.853,0.103,-8.869,0.085,92.015
I Can't Help Remembering You,163880,28,0.807,0.539,0.245,0.000359,0.118,-15.298,0.0279,102.246
D'yer Mak'er - Remaster,262748,54,0.262,0.525,0.929,2.9e-05,0.0754,-8.56,0.0784,163.503
Come Save Me,315000,0,0.0304,0.614,0.838,0.000297,0.166,-6.896,0.028,127.971
For You,203546,0,0.153,0.714,0.649,0,0.15,-5.414,0.0746,102.006
"Sugar, We're Goin Down",229093,79,0.00579,0.494,0.842,0,0.122,-4.784,0.0843,162.011
You Don't Know Me (feat. Regina Spektor),189693,37,0.443,0.807,0.458,2.44e-06,0.0827,-4.989,0.0419,87.081
My Society,215280,0,0.0333,0.816,0.761,0.00325,0.669,-8.756,0.0306,115.597
Around The World,238733,0,0.00417,0.504,0.96,0.569,0.0613,-1.464,0.183,96.682
Akureyri - Skrux Remix,225958,0,0.289,0.433,0.648,0.00022,0.0895,-8.586,0.0461,124.885
I Cry,223800,66,0.00616,0.693,0.822,1.79e-06,0.315,-5.441,0.0439,126.035
All I Ever Wanted,257680,48,0.00382,0.354,0.836,0.0229,0.19,-3.888,0.0497,165.02
"The Name Game (Vocal Version) [From ""American Horror Story""]",165995,5,0.0581,0.64,0.911,0,0.229,-4.121,0.0318,81.492
Do It Again,306323,43,0.00193,0.616,0.671,0.00402,0.0771,-5.37,0.054,123.939
Total Eclipse of the Heart,269786,1,0.195,0.435,0.658,0,0.102,-8.179,0.0661,130.276
SHOOK,190200,36,0.00208,0.798,0.812,0,0.954,-6.107,0.078,94.547
Survive,214680,0,0.0351,0.203,0.903,0,0.113,-3.828,0.0866,158.397
